text;label
"Не шевелись, механик, пока идёт диагностика.",Подождите
"Постой на месте, механик, не трогай панель управления.",Подождите
"инженер, стой спокойно, я закрою клапаны.",Подождите
"Стой на месте, механик, не открывай дверь.",Подождите
"Подожди пару секунд, я закрою люк.",Подождите
"Оставайся у шлюза, Оливия, не заходи внутрь.",Подождите
"пилот, подожди подтверждения герметизации.",Подождите
"Жди подтверждения от капитана, электрик.",Подождите
"Не двигайся, Харпер, идёт продувка.",Подождите
"медик, стой спокойно, я закрою клапаны.",Подождите
"Леон, не двигайся, пока не проверим отсек.",Подождите
"Иван, стой спокойно, идёт выравнивание давления.",Подождите
"Джек, оставайся в отсеке до моего сигнала.",Подождите
"Ожидай у двери, пока я осматриваю стенку.",Подождите
"Джек, стой на месте, пока я проверяю отсек.",Подождите
"пилот, не лезь пока, жди моего приказа.",Подождите
"Жди подтверждения от капитана, капитан.",Подождите
"медик, подожди подтверждения герметизации.",Подождите
"Постой на месте, офицер, не трогай панель управления.",Подождите
"Оливия, не шевелись, уровень воды нестабилен.",Подождите
"Оставайся у шлюза, Джек, не заходи внутрь.",Подождите
"Леон, стой спокойно, идёт выравнивание давления.",Подождите
"Не шевелись, пилот, пока идёт диагностика.",Подождите
"Подожди, пока насос завершит цикл.",Подождите
"Жди, пока насос откачает воду.",Подождите
"Ричард, не двигайся, пока не проверим отсек.",Подождите
"офицер, подожди, давление ещё не стабилизировалось.",Подождите
"электрик, стой спокойно, я закрою клапаны.",Подождите
"механик, подожди, давление ещё не стабилизировалось.",Подождите
"Жди подтверждения от капитана, инженер.",Подождите
"Харпер, не двигайся, пока не проверим отсек.",Подождите
"Не шевелись, медик, пока идёт диагностика.",Подождите
"механик, стой спокойно, я закрою клапаны.",Подождите
"Иван, подожди сигнала перед выходом.",Подождите
"Грейс, не шевелись, герметизация не завершена.",Подождите
"Харпер, не шевелись, уровень воды нестабилен.",Подождите
"Харпер, не шевелись, герметизация не завершена.",Подождите
"Леон, не шевелись, уровень воды нестабилен.",Подождите
"Постой у консоли, Иван, не нажимай ничего.",Подождите
"механик, жди команды, не двигайся пока.",Подождите
"офицер, подожди подтверждения герметизации.",Подождите
"Постой у консоли, Оливия, не нажимай ничего.",Подождите
"Жди подтверждения от капитана, офицер.",Подождите
"Иван, не двигайся, жди когда я дам сигнал.",Подождите
"Жди, пока датчики покажут стабильность.",Подождите
"Оставайся у шлюза, Митчел, не заходи внутрь.",Подождите
"Оставайся на месте, Свен, шлюз ещё закрыт.",Подождите
"медик, стой спокойно, пока я осматриваю систему.",Подождите
"Свен, не шевелись, уровень воды нестабилен.",Подождите
"Оставайся у шлюза, Ричард, не заходи внутрь.",Подождите
"Оставайся на месте, Леон, шлюз ещё закрыт.",Подождите
"Оставайся на месте, Митчел, шлюз ещё закрыт.",Подождите
