text,label
"Кайл, открывай огонь по врагам!",сражение
"Все в бой, не отступать!",сражение
"Офицер безопасности, действуй!",сражение
"Маркус, прикрой капитана!",сражение
Нападайте на захватчиков!,сражение
"Инженер, хватай пушку и помогай!",сражение
"Джулиан, бей по ним, не жалей!",сражение
"Механик, держи оборону!",сражение
"Бен, стреляй, они прорываются!",сражение
"Капитан, в атаку!",сражение
"Все, кто жив, сражаемся до конца!",сражение
"Трэси, не стой, открывай огонь!",сражение
"Помощник, прикрывай сзади!",сражение
"Чёрт возьми, враги на борту!",сражение
"Медик, возьми оружие, если можешь!",сражение
"Офицер безопасности, огонь по целям!",сражение
"Лео, сражайся до последнего патрона!",сражение
"В атаку, уничтожить вторженцев!",сражение
Не дай им дойти до реактора!,сражение
"Капитан, они уже на корабле!",сражение
"Быстро, защитите отсек!",сражение
"Инженер, помогай с обороной!",сражение
"Райан, бей их!",сражение
"Огонь на поражение, не щадить!",сражение
"Все, кто может стрелять, в бой!",сражение
"Медик, ко мне, я ранен!",хил
"Кайл, лечи быстрее, кровь идёт!",хил
"Помощник, подай аптечку!",хил
"Меня подстрелили, помогите!",хил
"Инженер, у меня ожоги, нужна помощь!",хил
"Медик Трэси, у нас раненный на палубе!",хил
"Механик, помоги перевязать!",хил
"Капитан, Маркус истекает кровью!",хил
"Джулиан, достань бинты!",хил
"Офицер безопасности, прикрой медика!",хил
"Срочно, лечите Бена!",хил
"У нас пострадавший, действуйте!",хил
"Эй, кто умеет лечить — сюда!",хил
"Медик, спасай, он без сознания!",хил
"Райан, не дай ему умереть!",хил
"Помощник, держи его, я перевяжу!",хил
"Медик, обработай ожоги!",хил
"Нора, помоги, я падаю!",хил
"Механик, неси аптечку, быстро!",хил
"Блин, кто-нибудь, вытащите меня!",хил
"Медик, стабилизируй его!",хил
"Капитан, дозволь эвакуацию раненых!",хил
"Кайл, помоги Джулиану, он не дышит!",хил
"Срочно оказать помощь, пока не поздно!",хил
Все живые — лечим пострадавших!,хил
"Кайл, следуй за мной!",следование
"Все, за мной, быстро!",следование
"Инженер, не отставай!",следование
"Трэси, иди следом!",следование
"Механик, ко мне, держись ближе!",следование
"Офицер безопасности, следуй за мной!",следование
"Маркус, за мной на нижнюю палубу!",следование
