"text","label","specialization"
"Займи турель и прикрой нас, Шкипер.","Управление оружием","Капитан"
"Шкипер, немедленно встань за пульт!","Управление оружием","Капитан"
"Пора бы уже встать за пулемёт, Капитан.","Управление оружием","Капитан"
"Займи позицию у боевого модуля, Кэп.","Управление оружием","Капитан"
"Иди разберись с орудием, Капитан.","Управление оружием","Капитан"
"Капитан, займи ракетную установку.","Управление оружием","Капитан"
"Займи боевую позицию, Капитан.","Управление оружием","Капитан"
"Займи орудие и приготовься к стрельбе, Шкипер.","Управление оружием","Капитан"
"Капитан, атакуют, встань к орудию!","Управление оружием","Капитан"
"Пора бы уже занять место стрелка, Кэп.","Управление оружием","Капитан"
"Шкипер, срочно нужен наводчик!","Управление оружием","Капитан"
"Требуется твоя реакция у орудия, Шкипер.","Управление оружием","Капитан"
"Твои руки нужны на пушке, Кэп.","Управление оружием","Капитан"
"Кэп, немедленно займи позицию!","Управление оружием","Капитан"
"Займи боевой модуль и приготовься, Шкипер.","Управление оружием","Капитан"
"Кэп, займи основной калибр.","Управление оружием","Капитан"
"Пора бы тебе встать к пушке, Шкипер.","Управление оружием","Капитан"
"Капитан, твои навыки нужны у пушки.","Управление оружием","Капитан"
"Иди разберись с оружейными системами, Кэп.","Управление оружием","Капитан"
"Кэп, твоя очередь нести вахту.","Управление оружием","Капитан"
"Капитан, займи систему ПВО.","Управление оружием","Капитан"
"Капитан, займи основной калибр.","Управление оружием","Капитан"
"Нужно вручную управлять зениткой, Шкипер.","Управление оружием","Капитан"
"Займи орудие, я вижу цель, Капитан.","Управление оружием","Капитан"
"Кэп, прикрой наш выход.","Управление оружием","Капитан"
"Займи левое орудие, Кэп.","Управление оружием","Капитан"
"Капитан, требуется твоя реакция.","Управление оружием","Капитан"
"Займи зенитную установку, Шкипер.","Управление оружием","Капитан"
"Слышь, Шкипер, займи уже наконец орудие.","Управление оружием","Капитан"
"Займи пушку и прикрой наш выход, Капитан.","Управление оружием","Капитан"
"Капитан, перезаряди вооружение.","Управление оружием","Капитан"
"Нужно прикрыть левый борт, займи пушку, Капитан.","Управление оружием","Капитан"
"Иди заряди орудие вручную, Шкипер.","Управление оружием","Капитан"
"Требуется твоё присутствие на боевом посту, Шкипер.","Управление оружием","Капитан"
"Кэп, управляй системой залпового огня.","Управление оружием","Капитан"
"Нужно вручную управлять зениткой, Капитан.","Управление оружием","Капитан"
"Кэп, мы под атакой, займи орудие!","Управление оружием","Капитан"
