text,label,specialization
"Не шевелись, механик, пока идёт диагностика.",Подождите,механик
"Постой на месте, механик, не трогай панель управления.",Подождите,механик
"инженер, стой спокойно, я закрою клапаны.",Подождите,инженер
"Стой на месте, механик, не открывай дверь.",Подождите,механик
"Подожди пару секунд, я закрою люк.",Подождите,помощник
"Оставайся у шлюза, Оливия, не заходи внутрь.",Подождите,помощник
"пилот, подожди подтверждения герметизации.",Подождите,капитан
"Жди подтверждения от капитана, электрик.",Подождите,инженер
"Не двигайся, Харпер, идёт продувка.",Подождите,помощник
"медик, стой спокойно, я закрою клапаны.",Подождите,врач
"Леон, не двигайся, пока не проверим отсек.",Подождите,помощник
"Иван, стой спокойно, идёт выравнивание давления.",Подождите,помощник
"Джек, оставайся в отсеке до моего сигнала.",Подождите,помощник
"Ожидай у двери, пока я осматриваю стенку.",Подождите,помощник
"Джек, стой на месте, пока я проверяю отсек.",Подождите,помощник
"пилот, не лезь пока, жди моего приказа.",Подождите,капитан
"Жди подтверждения от капитана, капитан.",Подождите,капитан
"медик, подожди подтверждения герметизации.",Подождите,врач
"Постой на месте, офицер, не трогай панель управления.",Подождите,офицер службы безопасности
"Оливия, не шевелись, уровень воды нестабилен.",Подождите,помощник
"Оставайся у шлюза, Джек, не заходи внутрь.",Подождите,помощник
"Леон, стой спокойно, идёт выравнивание давления.",Подождите,помощник
"Не шевелись, пилот, пока идёт диагностика.",Подождите,капитан
"Подожди, пока насос завершит цикл.",Подождите,помощник
"Жди, пока насос откачает воду.",Подождите,помощник
"Ричард, не двигайся, пока не проверим отсек.",Подождите,помощник
"офицер, подожди, давление ещё не стабилизировалось.",Подождите,офицер службы безопасности
"электрик, стой спокойно, я закрою клапаны.",Подождите,инженер
"механик, подожди, давление ещё не стабилизировалось.",Подождите,механик
"Жди подтверждения от капитана, инженер.",Подождите,инженер
"Харпер, не двигайся, пока не проверим отсек.",Подождите,помощник
"Не шевелись, медик, пока идёт диагностика.",Подождите,врач
"механик, стой спокойно, я закрою клапаны.",Подождите,механик
"Иван, подожди сигнала перед выходом.",Подождите,помощник
"Грейс, не шевелись, герметизация не завершена.",Подождите,помощник
"Харпер, не шевелись, уровень воды нестабилен.",Подождите,помощник
"Харпер, не шевелись, герметизация не завершена.",Подождите,помощник
"Леон, не шевелись, уровень воды нестабилен.",Подождите,помощник
"Постой у консоли, Иван, не нажимай ничего.",Подождите,помощник
"механик, жди команды, не двигайся пока.",Подождите,механик
"офицер, подожди подтверждения герметизации.",Подождите,офицер службы безопасности
"Постой у консоли, Оливия, не нажимай ничего.",Подождите,помощник
"Жди подтверждения от капитана, офицер.",Подождите,офицер службы безопасности
"Иван, не двигайся, жди когда я дам сигнал.",Подождите,помощник
"Жди, пока датчики покажут стабильность.",Подождите,помощник
"Оставайся у шлюза, Митчел, не заходи внутрь.",Подождите,помощник
"Оставайся на месте, Свен, шлюз ещё закрыт.",Подождите,помощник
"медик, стой спокойно, пока я осматриваю систему.",Подождите,врач
"Свен, не шевелись, уровень воды нестабилен.",Подождите,помощник
"Оставайся у шлюза, Ричард, не заходи внутрь.",Подождите,помощник
"Оставайся на месте, Леон, шлюз ещё закрыт.",Подождите,помощник
"Оставайся на месте, Митчел, шлюз ещё закрыт.",Подождите,помощник
"Не двигайся, Джек, идёт продувка.",Подождите,помощник
"инженер, не лезь пока, жди моего приказа.",Подождите,инженер
"Свен, не двигайся, пока не проверим отсек.",Подождите,помощник
"Свен, не шевелись, герметизация не завершена.",Подождите,помощник
"электрик, стой спокойно, пока я осматриваю систему.",Подождите,инженер
"Оливия, не шевелись, герметизация не завершена.",Подождите,помощник
"Постой у консоли, Ричард, не нажимай ничего.",Подождите,помощник
"Жди возле двери, не трогай замки.",Подождите,помощник
"Не двигайся, Леон, идёт продувка.",Подождите,помощник
"Митчел, не шевелись, уровень воды нестабилен.",Подождите,помощник
"Не двигайся, Грейс, идёт продувка.",Подождите,помощник
"Харпер, подожди сигнала перед выходом.",Подождите,помощник
"инженер, замри, пока не откроется дверь.",Подождите,инженер
"инженер, подожди, давление ещё не стабилизировалось.",Подождите,инженер
"Подожди немного, давление ещё растёт.",Подождите,помощник
"Жди, пока шлюз не продуется полностью.",Подождите,помощник
"Ричард, оставайся в отсеке до моего сигнала.",Подождите,помощник
"электрик, замри, пока не откроется дверь.",Подождите,инженер
"офицер, жди команды, не двигайся пока.",Подождите,офицер службы безопасности
"Не двигайся, пока сигнал не сменится на зелёный.",Подождите,помощник
"Оливия, не двигайся, пока не проверим отсек.",Подождите,помощник
"Митчел, стой спокойно, идёт выравнивание давления.",Подождите,помощник
"Грейс, не двигайся, жди когда я дам сигнал.",Подождите,помощник
"инженер, подожди подтверждения герметизации.",Подождите,инженер
"инженер, жди команды, не двигайся пока.",Подождите,инженер
"Джек, не двигайся, пока не проверим отсек.",Подождите,помощник
"Свен, оставайся в отсеке до моего сигнала.",Подождите,помощник
"Митчел, не двигайся, пока не проверим отсек.",Подождите,помощник
"Жди подтверждения от капитана, пилот.",Подождите,капитан
"Не шевелись, инженер, пока идёт диагностика.",Подождите,инженер
"Леон, не двигайся, жди когда я дам сигнал.",Подождите,помощник
"Стой на месте, медик, не открывай дверь.",Подождите,врач
"Митчел, не двигайся, жди когда я дам сигнал.",Подождите,помощник
"капитан, замри, пока не откроется дверь.",Подождите,капитан
"пилот, замри, пока не откроется дверь.",Подождите,капитан
"Стой на месте, капитан, не открывай дверь.",Подождите,капитан
"Постой у консоли, Леон, не нажимай ничего.",Подождите,помощник
"Ричард, стой спокойно, идёт выравнивание давления.",Подождите,помощник
"Подожди немного, я открою шлюз позже.",Подождите,помощник
"Стой на месте, офицер, не открывай дверь.",Подождите,офицер службы безопасности
"Джек, подожди сигнала перед выходом.",Подождите,помощник
"Грейс, не шевелись, уровень воды нестабилен.",Подождите,помощник
"Подожди немного, офицер, там может быть утечка.",Подождите,офицер службы безопасности
"Иван, оставайся в отсеке до моего сигнала.",Подождите,помощник
"Грейс, не двигайся, пока не проверим отсек.",Подождите,помощник
"пилот, жди команды, не двигайся пока.",Подождите,капитан
"Оставайся у шлюза, Грейс, не заходи внутрь.",Подождите,помощник
"офицер, стой спокойно, я закрою клапаны.",Подождите,офицер службы безопасности
"Джек, не шевелись, уровень воды нестабилен.",Подождите,помощник
"Оливия, подожди сигнала перед выходом.",Подождите,помощник
"Грейс, оставайся в отсеке до моего сигнала.",Подождите,помощник
"капитан, подожди, давление ещё не стабилизировалось.",Подождите,капитан
"Оставайся у шлюза, Свен, не заходи внутрь.",Подождите,помощник
"Иван, стой на месте, пока я проверяю отсек.",Подождите,помощник
"электрик, не лезь пока, жди моего приказа.",Подождите,инженер
"Грейс, стой спокойно, идёт выравнивание давления.",Подождите,помощник
"медик, жди команды, не двигайся пока.",Подождите,врач
"Митчел, оставайся в отсеке до моего сигнала.",Подождите,помощник
"Иван, не шевелись, герметизация не завершена.",Подождите,помощник
"Не двигайся, Оливия, идёт продувка.",Подождите,помощник
"Иван, не двигайся, пока не проверим отсек.",Подождите,помощник
