original_text,predicted_specialization,cleaned_text
"Срочно, капитан, механика барахлит, действуй!",Капитан,"Срочно, механика барахлит, действуй!"
"Срочно, капитан, механика в хламе — чини, пока не взорвалось!",Капитан,"Срочно, механика в хламе — чини, пока не взорвалось!"
"Механика в хламе — чини, пока не взорвалось, капитан!",Капитан,"Механика в хламе — чини, пока не взорвалось, !"
"Срочно, двигатель подвел, исправь, капитан!",Капитан,"Срочно, двигатель подвел, исправь, !"
"Капитан, всё гремит, почини механику!",Капитан,"всё гремит, почини механику!"
"Капитан, быстрее, двигатель подвел, исправь!",Капитан,"быстрее, двигатель подвел, исправь!"
"Капитан, срочно, всё гремит, почини механику!",Капитан,"срочно, всё гремит, почини механику!"
"Механика дышит последними силами — не дай ей умереть, капитан!",Капитан,"Механика дышит последними силами — не дай ей умереть, !"
"Капитан, давай живее, нам нужна подвижность, чини механику!",Капитан,"давай живее, нам нужна подвижность, чини механику!"
"Давай живее, всё гремит, почини механику, капитан!",Капитан,"Давай живее, всё гремит, почини механику, !"
"Капитан, срочно, двигатель подвел, исправь!",Капитан,"срочно, двигатель подвел, исправь!"
"Давай живее, капитан, механика заклинила, чини!",Капитан,"Давай живее, механика заклинила, чини!"
"Капитан, быстрее, осмотри двигатель, там трещит!",Капитан,"быстрее, осмотри двигатель, там трещит!"
"Немедленно, механика дышит последними силами — не дай ей умереть, капитан!",Капитан,"Немедленно, механика дышит последними силами — не дай ей умереть, !"
"Быстрее, нам нужна подвижность, чини механику, капитан!",Капитан,"Быстрее, нам нужна подвижность, чини механику, !"
"Пока не поздно, двигатель подвел, исправь, капитан!",Капитан,"Пока не поздно, двигатель подвел, исправь, !"
"Пока не поздно, капитан, двигатель подвел, исправь!",Капитан,"Пока не поздно, двигатель подвел, исправь!"
"Давай живее, двигатель подвел, исправь, капитан!",Капитан,"Давай живее, двигатель подвел, исправь, !"
"Давай живее, капитан, механика в хламе — чини, пока не взорвалось!",Капитан,"Давай живее, механика в хламе — чини, пока не взорвалось!"
"Срочно, нам нужна подвижность, чини механику, капитан!",Капитан,"Срочно, нам нужна подвижность, чини механику, !"
