"text","label","specialization"
"Следуй за мной к рубежу, командир!","follow","Капитан"
"Иди за мной к цели, главный!","follow","Капитан"
"Отступай за мной назад, командир!","follow","Капитан"
"Главный, следуй за мной вперёд!","follow","Капитан"
"Быстрее, Главный, двигайся за мной к шлюзу!","follow","Капитан"
"Следуй за мной к цели, командир!","follow","Капитан"
"Срочно! Следуй за мной, командир!","follow","Капитан"
"Командир, иди за мной к точке сбора!","follow","Капитан"
"Держись за мной, командир, идём!","follow","Капитан"
"Слушай! Идём вперёд вместе, главный!","follow","Капитан"
"Занимай позицию и следуй за мной, главный!","follow","Капитан"
"Командир, отступай за мной!","follow","Капитан"
"Эй, Капитан, следуй за мной!","follow","Капитан"
"Эй! Идём назад вместе, капитан!","follow","Капитан"
"Следуй за мной к шлюзу, капитан!","follow","Капитан"
"Главный, следуй за мной, занимай позицию!","follow","Капитан"
"Отступай за мной, капитан!","follow","Капитан"
"Командир, двигайся за мной к рубежу!","follow","Капитан"
"Следуй за мной по курсу, главный!","follow","Капитан"
"Живо, следуй за мной к точке сбора, командир!","follow","Капитан"
"Капитан, иди за мной к точке сбора!","follow","Капитан"
"Командир, вперёд со мной!","follow","Капитан"
"Главный, идём вместе вперёд!","follow","Капитан"
"Смени позицию и следуй за мной, капитан!","follow","Капитан"
"Капитан, следуй за мной!","follow","Капитан"
"Отступай за мной, капитан!","follow","Капитан"
"Ну! Следуй за мной вперёд, главный!","follow","Капитан"
"Следуй за мной к цели, главный!","follow","Капитан"
"Давай, следуй за мной, главный!","follow","Капитан"
"Следуй за мной к точке сбора, главный!","follow","Капитан"
"Отступай за мной, капитан!","follow","Капитан"
"Идём назад вместе, капитан!","follow","Капитан"
"Эй, отступай за мной, командир!","follow","Капитан"
"Эй, Командир, держись за мной!","follow","Капитан"
"Главный, следуй за мной назад!","follow","Капитан"
"Давай, следуй за мной, капитан!","follow","Капитан"
"Срочно, Командир, двигайся со мной к шлюзу!","follow","Капитан"
"Быстрее, следуй за мной, капитан!","follow","Капитан"
"Следуй за мной к цели, капитан!","follow","Капитан"
"Отступай за мной, капитан!","follow","Капитан"
"Следуй за мной к цели, капитан!","follow","Капитан"
"Слушай, Капитан, двигайся за мной к точке сбора!","follow","Капитан"
"Срочно! Следуй за мной, капитан!","follow","Капитан"
"Ну! Следуй за мной, командир!","follow","Капитан"
"Отступай за мной, главный!","follow","Капитан"
"Следуй за мной к цели, командир!","follow","Капитан"
"Занимай позицию и следуй за мной, командир!","follow","Капитан"
"Смени позицию и следуй за мной, капитан!","follow","Капитан"
"Главный, идём вместе вперёд!","follow","Капитан"
"Срочно! Следуй за мной, капитан!","follow","Капитан"
